Date,Time,Reference,Actual,Previous,Consensus
"Jan 28, 2015",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Mar 18, 2015",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Apr 29, 2015",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Jun 17, 2015",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Jul 29, 2015",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Sep 17, 2015",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Oct 28, 2015",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Dec 16, 2015",14:00,Fed Interest Rate Decision,0.5%,0.25%,0.5%
"Jan 27, 2016",14:00,Fed Interest Rate Decision,0.5%,0.5%,0.5%
"Mar 16, 2016",14:00,Fed Interest Rate Decision,0.5%,0.5%,0.5%
"Apr 27, 2016",14:00,Fed Interest Rate Decision,0.5%,0.5%,0.5%
"Jun 15, 2016",14:00,Fed Interest Rate Decision,0.5%,0.5%,0.5%
"Jul 27, 2016",14:00,Fed Interest Rate Decision,0.5%,0.5%,0.5%
"Sep 21, 2016",14:00,Fed Interest Rate Decision,0.5%,0.5%,0.5%
"Nov 02, 2016",14:00,Fed Interest Rate Decision,0.5%,0.5%,0.5%
"Dec 14, 2016",14:00,Fed Interest Rate Decision,0.75%,0.5%,0.75%
"Feb 01, 2017",14:00,Fed Interest Rate Decision,0.75%,0.75%,0.75%
"Mar 15, 2017",14:00,Fed Interest Rate Decision,1.0%,0.75%,1.0%
"May 03, 2017",14:00,Fed Interest Rate Decision,1.0%,1.0%,1.0%
"Jun 14, 2017",14:00,Fed Interest Rate Decision,1.25%,1.0%,1.25%
"Jul 26, 2017",14:00,Fed Interest Rate Decision,1.25%,1.25%,1.25%
"Sep 20, 2017",14:00,Fed Interest Rate Decision,1.25%,1.25%,1.25%
"Nov 01, 2017",14:00,Fed Interest Rate Decision,1.25%,1.25%,1.25%
"Dec 13, 2017",14:00,Fed Interest Rate Decision,1.5%,1.25%,1.5%
"Jan 31, 2018",14:00,Fed Interest Rate Decision,1.5%,1.5%,1.5%
"Mar 21, 2018",14:00,Fed Interest Rate Decision,1.75%,1.5%,1.75%
"May 02, 2018",14:00,Fed Interest Rate Decision,1.75%,1.75%,1.75%
"Jun 13, 2018",14:00,Fed Interest Rate Decision,2.0%,1.75%,2.0%
"Aug 01, 2018",14:00,Fed Interest Rate Decision,2.0%,2.0%,2.0%
"Sep 26, 2018",14:00,Fed Interest Rate Decision,2.25%,2.0%,2.25%
"Nov 08, 2018",14:00,Fed Interest Rate Decision,2.25%,2.25%,2.25%
"Dec 19, 2018",14:00,Fed Interest Rate Decision,2.5%,2.25%,2.5%
"Jan 30, 2019",14:00,Fed Interest Rate Decision,2.5%,2.5%,2.5%
"Mar 20, 2019",14:00,Fed Interest Rate Decision,2.5%,2.5%,2.5%
"May 01, 2019",14:00,Fed Interest Rate Decision,2.5%,2.5%,2.5%
"Jun 19, 2019",14:00,Fed Interest Rate Decision,2.5%,2.5%,2.5%
"Jul 31, 2019",14:00,Fed Interest Rate Decision,2.25%,2.5%,2.25%
"Sep 18, 2019",14:00,Fed Interest Rate Decision,2.0%,2.25%,2.0%
"Oct 30, 2019",14:00,Fed Interest Rate Decision,1.75%,2.0%,1.75%
"Dec 11, 2019",14:00,Fed Interest Rate Decision,1.75%,1.75%,1.75%
"Jan 29, 2020",14:00,Fed Interest Rate Decision,1.75%,1.75%,1.75%
"Mar 03, 2020",14:00,Fed Interest Rate Decision,1.25%,1.75%,1.75%
"Mar 15, 2020",14:00,Fed Interest Rate Decision,0.25%,1.25%,1.25%
"Apr 29, 2020",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Jun 10, 2020",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Jul 29, 2020",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Sep 16, 2020",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Nov 05, 2020",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Dec 16, 2020",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Jan 27, 2021",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Mar 17, 2021",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Apr 28, 2021",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Jun 16, 2021",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Jul 28, 2021",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Sep 22, 2021",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Nov 03, 2021",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Dec 15, 2021",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Jan 26, 2022",14:00,Fed Interest Rate Decision,0.25%,0.25%,0.25%
"Mar 16, 2022",14:00,Fed Interest Rate Decision,0.5%,0.25%,0.5%
"May 04, 2022",14:00,Fed Interest Rate Decision,1.0%,0.5%,1.0%
"Jun 15, 2022",14:00,Fed Interest Rate Decision,1.75%,1.0%,1.75%
"Jul 27, 2022",14:00,Fed Interest Rate Decision,2.5%,1.75%,2.5%
"Sep 21, 2022",14:00,Fed Interest Rate Decision,3.25%,2.5%,3.25%
"Nov 02, 2022",14:00,Fed Interest Rate Decision,4.0%,3.25%,4.0%
"Dec 14, 2022",14:00,Fed Interest Rate Decision,4.5%,4.0%,4.5%
"Feb 01, 2023",14:00,Fed Interest Rate Decision,4.75%,4.5%,4.75%
"Mar 22, 2023",14:00,Fed Interest Rate Decision,5.0%,4.75%,5.0%
"May 03, 2023",14:00,Fed Interest Rate Decision,5.25%,5.0%,5.25%
"Jun 14, 2023",14:00,Fed Interest Rate Decision,5.25%,5.25%,5.25%
"Jul 26, 2023",14:00,Fed Interest Rate Decision,5.5%,5.25%,5.5%
"Sep 20, 2023",14:00,Fed Interest Rate Decision,5.5%,5.5%,5.5%
"Nov 01, 2023",14:00,Fed Interest Rate Decision,5.5%,5.5%,5.5%
"Dec 13, 2023",14:00,Fed Interest Rate Decision,5.5%,5.5%,5.5%
"Jan 31, 2024",14:00,Fed Interest Rate Decision,5.5%,5.5%,5.5%
"Mar 20, 2024",14:00,Fed Interest Rate Decision,5.5%,5.5%,5.5%
"May 01, 2024",14:00,Fed Interest Rate Decision,5.5%,5.5%,5.5%
"Jun 12, 2024",14:00,Fed Interest Rate Decision,5.5%,5.5%,5.5%
